"id","line_no","script","path","updated_script","file_path","version","vulnerable","zap_col_1"
"16408","440","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/agile-crm.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16413","435","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/close.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16415","436","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/close.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16420","444","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/copper.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16421","445","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/copper.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16427","440","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/copper_copy.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16428","441","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/copper_copy.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16434","440","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/desk.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16435","441","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/desk.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16444","450","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/freshdesk.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
